reviewer,comment_id,reviewer_concern,severity,new_experiment_or_revision,key_result,where_to_put_in_manuscript,where_to_put_in_SI,response_letter_bullet,status
R1,R1.1,"Scope: multinuclear / MOF / ηn organometallic exclusion",critical,"CSD audit waterfall; v1 scope table","CSD: 200k scanned → 17k retained (8.5%); top rejections: no_TM 50% multinuclear 24% hapticity category quantified; v1 = mononuclear η1 CN 2–6","Discussion/Limitations: add v1/v2 scope table; Results: CSD audit waterfall","SI scope table with rejection counts","We added a CSD audit (200k entries) quantifying exclusion: 24% multinuclear 7% no_3d 4% disorder. CoordRep v1 scope is explicitly mononuclear η1 CN 2–6. Future extensions (Multi/Periodic/Haptic) noted.",resolved
R1,R1.2,"Composite metal/CN token prevents independent field exploration",critical,"Tokenizer audit + factorized ablation","metal Top-1: 13.8%→67.8%; CN Top-1: 13.8%→49.0%; joint: 13.8%→29.4%; factorized adopted as revised default","Methods: tokenizer section revised; Results: factorized ablation paragraph","SI tokenizer audit detail + by-task breakdown","Tokenizer audit found composite mismatch. Factorized tokenizer recovers metal 67.8% and CN 49.0% independently (vs 13.8% composite). Revised default = factorized.",resolved
R1,R1.3,"Tool A physical grounding / DFT / statistical bias",critical,"Tool A ablation + reframing + GNN comparison","full_context=85.7% LigandFreq=86.2% no_lig_smiles=61.4% no_geom_stereo≈full; EGNN donor F1=0.998","Results: reframe Tool A as donor annotation/attribution; add ablation table","SI full ablation by CN/denticity/donor element","Tool A is reframed as donor annotation. Ablation shows donor identity is ligand-intrinsic (removing SMILES drops 25 pts; removing geometry negligible). EGNN F1=0.998 confirms geometry accessibility. No thermodynamic claim.",reframed
R1,R1.4,"Bidentate / multidentate support",major,"Multidentate coverage audit + Tool A by denticity","76.1% complexes contain multidentate; bidentate Top-1=86.7% monodentate=84.7%; validator error=0.46%","Results: multidentate paragraph; 3 annotated examples","SI multidentate coverage by CN/metal/source; validator failure analysis","76.1% of training complexes contain multidentate ligands. Bidentate per-donor Top-1=86.7%. CoordRep v1 is mononuclear η1 not monodentate-only.",resolved
R2,R2.1,"Why not GNN / modern equivariant GNN?",critical,"2D GIN + 3D EGNN baselines","EGNN donor F1=0.998; EGNN hard-neg AUROC=0.499; CoordRep-Ranker strict AUROC=0.800","Results: new GNN comparison subsection","SI full GNN tables","EGNN solves donor annotation (F1=0.998) but fails semantic ranking (AUROC=0.50). CoordRep-Ranker strict semantic AUROC=0.80. CoordRep complements GNNs as auditable record layer.",resolved
R2,R2.2,"No benchmark against graph neural networks",critical,"GIN/EGNN donor + hard-negative + CSD identity","Donor: EGNN 0.998 GIN 0.904 LigandFreq 0.896; Hard-neg: EGNN 0.499 CoordRep 0.800; Identity: WL 0.983/0.800 L3 0.830/0.816","Results: GNN comparison subsection","SI per-decoy-type AUROC tables","Three GNN comparison tasks added: donor annotation; hard-negative ranking; CSD identity. Full tables in SI.",resolved
R2,R2.3,"Borderline coordination / weak interactions / η coordination",major,"CSD boundary cases + AFOSIA example","AFOSIA: CShM(TPr)=4.49 CShM(Oh)=4.48 Δ=0.01; boundary_thresh<1.0; 13.4% of CSD retained are boundary","Results: boundary case example","SI boundary fraction by CN","Boundary cases are marked not forced. AFOSIA Δ=0.01 shows continuous CShM avoids brittle labels. ηn explicitly excluded in v1.",resolved
R2,R2.4,"Fraction excluded by filtering criteria",major,"CSD audit waterfall","200k→17k (8.5%); detailed rejection breakdown","Results: CSD audit paragraph","SI waterfall table","CSD audit: 200k scanned 17k retained. Top rejections quantified. Scope boundary is by design.",resolved
R2,R2.5,"Subtle geometry distinction",major,"CoordRep-ID L0–L3 + perturbation robustness","L0 21.5% L3 88.9% CSD match; perturbation σ=0.01: L0=33% L3=94%; ACUWOK 12 unique L0 single L3","Results: identity hierarchy section","SI perturbation sweep + bond scaling tables","L0 is geometry-state sensitive; L3 is robust chemical identity. CSD families validate: L3=88.9% match. ACUWOK: 12 unique L0 single L3.",resolved
R2,R2.6,"Reason for MLM instead of graph model",moderate,"Reframing + GNN baselines","MLM operates on structured CoordRep fields; GNN baselines show geometry-local vs field-level distinction","Discussion: complementarity paragraph","–","MLM is a learnable language over auditable CoordRep fields. GNNs included as baselines. Syntax repair by rules; semantic checking by models.",reframed
