panel,metric,numerator,denominator,percent,status
B,CSD entries,1371757,1371757,100.0,frozen April 2025 release
B,target entries,602116,1371757,43.8938,3D + in-domain d-block
B,schema-valid emission,602116,602116,100.0,all terminal levels
B,source-fidelity matches,602116,602116,100.0,independent native-object reread
B,input/read/classification/serialization failures,0,602116,0.0,full target corpus
B,strict nonpolymeric single-center,253522,602116,42.1052,mutually exclusive
B,nonpolymeric multiple/external,233622,602116,38.8002,mutually exclusive
B,polymeric,114972,602116,19.0947,mutually exclusive
C,at least one structural site,601664,602116,99.9249,entry level
C,all sites structural,601402,602116,99.8814,entry level
C,native structural metal sites,1984062,1986198,99.8925,site level
C,resolved,293850,602116,48.8029,mutually exclusive terminal entry outcome
C,partial,76608,602116,12.7231,mutually exclusive terminal entry outcome
C,disorder-ambiguous,231206,602116,38.3989,mutually exclusive terminal entry outcome
C,audit-only,452,602116,0.0751,mutually exclusive terminal entry outcome
D,in-domain shared donor,147348,602116,24.4717,nonexclusive
D,explicit haptic/pi site,102241,602116,16.9803,nonexclusive; eta > 1
D,resolved nonzero translation edge,94452,602116,15.6867,nonexclusive
D,entries containing oversized collective pi candidate,34,602116,0.0056,candidate object does not itself trigger haptic flag
D,candidate entries also containing confirmed haptic site,7,34,20.5882,these entries remain in the haptic-entry total
D,MOF processing success,15905,15906,99.9937,public CSD MOF Collection
D,MOF state-bearing entries,10948,15906,68.8294,public CSD MOF Collection
D,MOF local states,172332,172332,100.0,emitted local-site states
D,MOF nonzero-translation states,74354,172332,43.1458,local states
D,full-CSD polymeric translation-complete,114916,114972,99.9513,source graph
D,full-CSD polymeric unresolved periodic-edge evidence,9,114972,0.0078,not translation-complete
D,full-CSD polymeric edge-less audit-only,47,114972,0.0409,not translation-complete
